Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
Nancy Sinatra,Nancy Sandra Sinatra,1940|6|8,Jersey City,1961–2013,,Nancy Sinatra,"<p class=""mw-empty-elt"">
</p>
<p><b>Nancy Sandra Sinatra</b> (born June 8, 1940) is an American  singer and actress. She is the elder daughter of Frank Sinatra and Nancy Sinatra (<span title=""Name at birth"">née </span> Barbato), and is best known for her 1966 signature hit ""These Boots Are Made for Walkin'<span>""</span>.
</p><p>Nancy Sinatra began her career as a singer and actress in November 1957 with an appearance on her father's ABC-TV variety series, but initially achieved success only in Europe and Japan. In early 1966 she had a transatlantic number-one hit with ""These Boots Are Made for Walkin<span>'</span>"". A TV promo clip from the era features Sinatra in high boots, accompanied by colorfully dressed go-go dancers, in what is now considered an iconic Swinging Sixties look. The song was written by Lee Hazlewood, who wrote and produced most of her hits and sang with her on several duets. As with all of Sinatra's 1960s hits, ""Boots"" featured Billy Strange as arranger and conductor.
</p><p>Between early 1966 and early 1968, Sinatra charted on <i>Billboard'</i>s Hot 100 with 14 titles, ten of which reached the Top 40. In addition to ""These Boots Are Made for Walkin<span>'</span>"", defining recordings during this period include ""Sugar Town"", ""Love Eyes"", the transatlantic 1967 number one ""Somethin' Stupid"" (a duet with her father), two versions of the title song from the James Bond film <i>You Only Live Twice</i> (1967), several collaborations with Lee Hazlewood – including ""Summer Wine"", ""Jackson"", ""Lady Bird"" and ""Some Velvet Morning"" – and a non-single 1966 cover of the Cher hit ""Bang Bang (My Baby Shot Me Down)"", which features in the opening credits of Quentin Tarantino's 2003 film <i>Kill Bill Volume 1</i>. In 1971 Sinatra and Hazlewood achieved their first collaborative success in the UK singles chart with the no. 2 hit ""Did You Ever?"", and the 2005 UK no. 3 hit by Audio Bullys, ""Shot You Down"", sampled Sinatra's version of ""Bang Bang"".
</p><p>Between 1964 and 1968 Sinatra appeared in several feature films, co-starring with Peter Fonda in Roger Corman's biker-gang movie <i>The Wild Angels</i> (1966) and alongside Elvis Presley in the musical drama <i>Speedway</i> (1968). Frank and Nancy Sinatra played a fictional father and daughter in the 1965 comedy <i>Marriage on the Rocks</i>.
</p>",
,,,,,,,,
Sinéad O’Connor,Sinéad Marie Bernadette O'Connor,1966|12|8,Glenageary,1986–present,"* Vocals
* guitar
* bass
* keyboards
* percussion
* tin whistle",Sinéad O'Connor,"<p class=""mw-empty-elt"">


</p>

<p><b>Shuhada' Sadaqat</b> (previously <b>Magda Davitt</b>; born <b>Sinéad Marie Bernadette O'Connor</b> on 8 December 1966) is an Irish singer-songwriter. Her debut album, <i>The Lion and the Cobra</i>, was released in 1987 and charted internationally. Her second album, <i>I Do Not Want What I Haven't Got</i> received glowing reviews upon release and became her biggest success, selling over seven million copies worldwide. Its lead single, ""Nothing Compares 2 U"" (written by Prince), was named the number one world single in 1990 by the <i>Billboard</i> Music Awards.</p><p>She has released ten studio albums: 1992's <i>Am I Not Your Girl?</i> and 1994's <i>Universal Mother</i> both went gold in the UK, 2000's <i>Faith and Courage</i> received gold status in Australia, and 2005's <i>Throw Down Your Arms</i> went gold in Ireland. Her work also includes songs for films, collaborations with many other artists, and appearances at charity fundraising concerts. Her 2021 memoir <i>Rememberings</i> was a best seller.</p><p>Throughout her music career she has been unabashedly honest about her spiritual journey, activism, socio-political views, as well as her trauma and mental health struggles.
</p><p>In 1999 she was ordained as a priest by the Latin Tridentine Church, a sect that is not recognized by the mainstream Catholic Church. She consistently speaks out on issues related to child abuse, human rights, anti-racism, organised religion, and women's rights.
In 2017, O'Connor changed her name to Magda Davitt. After converting to Islam in 2018, she changed it to Shuhada' Sadaqat. However, she continues to record and perform under her birth name.</p>


",
,,,,,,,,
Birdy,Jasmine Lucilla Elizabeth Jennifer van den Bogaerde,1996|05|15,Lymington,2008–present,Vocals|piano,Birdy (singer),"<p class=""mw-empty-elt"">

</p>

<p><b>Jasmine Lucilla Elizabeth Jennifer van den Bogaerde</b> (born 15 May 1996), better known by her stage name <b>Birdy</b>, is an English singer and songwriter. She won the music competition Open Mic UK in 2008, at the age of 12.
</p><p>Her debut single, a cover version of Bon Iver's ""Skinny Love"", was her breakthrough, charting all across Europe and earning platinum certification six times in Australia. Her self-titled debut album, <i>Birdy</i>, was released on 7 November 2011 to similar success, peaking at number one in Australia, Belgium and the Netherlands. Her second studio album, <i>Fire Within</i>, was released on 23 September 2013 in the UK. At the 2014 Brit Awards, she was nominated for Best British Female Solo Artist. Her third studio album, <i>Beautiful Lies</i>, was released on 25 March 2016. Her fourth studio album <i>Young Heart</i> was released on 30 April 2021.
</p>",
,,,,,,,,
Zedd,Anton ,1989|09|02,Saratov,2002–present,,Zedd,"<p class=""mw-empty-elt"">
</p>
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">

<p><b>Anton Zaslavski</b> (Russian: <span lang=""ru"">Антон Заславский</span>; born 2 September 1989), known professionally as <b>Zedd</b> (<span></span>), is a Russian-German DJ, record producer, and songwriter.
</p><p>Zedd grew up and began his musical journey in Kaiserslautern, Germany. His stage name, Zedd, was derived from <i>zed</i>, the English pronunciation, barring American English, for the first letter of his surname, Z. In 2012, he released ""Clarity"" (featuring Foxes), which propelled him to mainstream success, reaching the 8th position on the <i>Billboard</i> Hot 100 and earning him a Grammy for Best Dance Recording at the 56th Grammy Awards. Later in 2012, he released his debut studio album, <i>Clarity</i>, with hit single ""Stay the Night"" (featuring Hayley Williams) appearing on the 2013 deluxe edition of the album.
</p><p>In 2015, his second studio album, <i>True Colors</i>, was released, supported by its lead single, ""I Want You to Know"", featuring Selena Gomez. Subsequent well-known songs include ""Stay"" with Alessia Cara, peaking at number 7; ""The Middle"" with Maren Morris and Grey; and, as a featured artist, ""Break Free"" with Ariana Grande, peaking at number 4 in the US.
</p>


",
,,,,,,,,
James Blake,James Blake Litherland,1988|9|26,Enfield,2009–present,Vocals|piano|synthesizer,James Blake (musician),"<p class=""mw-empty-elt"">

</p>

<p><b>James Blake Litherland</b> (born 26 September 1988) is an English musician, singer, songwriter, and record producer. He first received recognition for a series of 2010 EPs including <i>CMYK</i> and <i>Klavierwerke</i>, and he released his self-titled debut album in 2011 to critical praise. His second album <i>Overgrown</i> was released in 2013, bringing him to international attention, and later was awarded the Mercury Prize. In 2016, he released his third album <i>The Colour in Anything</i> and his fourth album <i>Assume Form</i> in 2019, both receiving positive reviews and the latter becoming his highest-peaking album in the US <i>Billboard</i> 200, at number 21.
</p><p>During his career, he has collaborated with artists including Mount Kimbie and Bon Iver and has contributed production work to artists such as Kendrick Lamar, Beyoncé, Vince Staples, Frank Ocean, Rosalía and Travis Scott. He has won a Mercury Prize from two nominations, a Grammy Award from six nominations, including for Best New Artist in 2014; a Latin Grammy Award and three Brit Award nominations.
</p>",
,,,,,,,,
Sam Cooke,Samuel Cook,1931|1|22,Clarksdale,1951–1964,,Sam Cooke,"<p class=""mw-empty-elt"">
</p>

<p><b>Samuel Cook</b> (January 22, 1931 – December 11, 1964), known professionally as <b>Sam Cooke</b>, was an American singer and songwriter. Considered to be a pioneer and one of the most influential soul artists of all time, Cooke is commonly referred to as the ""King of Soul"" for his distinctive vocals, notable contributions to the genre and significance in popular music.</p><p>Cooke was born in Clarksdale, Mississippi, and later relocated to Chicago with his family at a young age, where he began singing as a child and joined the Soul Stirrers as lead singer in the 1950s. Going solo in 1957, Cooke released a string of hit songs, including ""You Send Me"", ""A Change Is Gonna Come"", ""Cupid"", ""Wonderful World"", ""Chain Gang"", ""Twistin' the Night Away"", ""Bring It On Home to Me"", and ""Good Times"". During his eight-year career, Cooke released 29 singles that charted in the Top 40 of the <i>Billboard</i> Pop Singles chart, as well as 20 singles in the Top Ten of <i>Billboard</i><span>'s</span> Black Singles chart.
</p><p>In 1964, Cooke was shot and killed by the manager of a motel in Los Angeles. After an inquest and investigation, the courts ruled Cooke's death to be a justifiable homicide. His family has since questioned the circumstances of his death.
</p><p>Cooke's pioneering contributions to soul music contributed to the rise of Aretha Franklin, Bobby Womack, Al Green, Curtis Mayfield, Stevie Wonder, Marvin Gaye, and Billy Preston, and popularized the work of Otis Redding and James Brown. AllMusic biographer Bruce Eder wrote that Cooke was ""the inventor of soul music"", and possessed ""an incredible natural singing voice and a smooth, effortless delivery that has never been surpassed"".</p><p>Cooke was also a central part of the civil rights movement, using his influence and popularity with the White and Black populations to fight for the cause. He was friends with boxer Muhammad Ali, activist Malcolm X and football player Jim Brown, who together campaigned for racial equality.
</p>",
,,,,,,,,
Пётр Ильич Чайковский,,1840|05|07,Votkinsk,,,Pyotr Ilyich Tchaikovsky,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Pyotr Ilyich Tchaikovsky</b> (<span></span> <i title=""English pronunciation respelling"">chy-<span>KOF</span>-skee</i>; 7 May 1840 – 6 November 1893) was a Russian composer of the Romantic period. He was the first Russian composer whose music would make a lasting impression internationally. He wrote some of the most popular concert and theatrical music in the current classical repertoire, including the ballets <i>Swan Lake</i> and <i>The Nutcracker</i>, the <i>1812 Overture</i>, his First Piano Concerto, Violin Concerto, the <i>Romeo and Juliet</i> Overture-Fantasy, several symphonies, and the opera <i>Eugene Onegin</i>.
</p><p>Although musically precocious, Tchaikovsky was educated for a career as a civil servant as there was little opportunity for a musical career in Russia at the time and no system of public music education. When an opportunity for such an education arose, he entered the nascent Saint Petersburg Conservatory, from which he graduated in 1865. The formal Western-oriented teaching that he received there set him apart from composers of the contemporary nationalist movement embodied by the Russian composers of The Five with whom his professional relationship was mixed.
</p><p>Tchaikovsky's training set him on a path to reconcile what he had learned with the native musical practices to which he had been exposed from childhood. From that reconciliation, he forged a personal but unmistakably Russian style. The principles that governed melody, harmony and other fundamentals of Russian music ran completely counter to those that governed Western European music, which seemed to defeat the potential for using Russian music in large-scale Western composition or for forming a composite style, and it caused personal antipathies that dented Tchaikovsky's self-confidence. Russian culture exhibited a split personality, with its native and adopted elements having drifted apart increasingly since the time of Peter the Great. That resulted in uncertainty among the intelligentsia about the country's national identity, an ambiguity mirrored in Tchaikovsky's career.
</p><p>Despite his many popular successes, Tchaikovsky's life was punctuated by personal crises and depression. Contributory factors included his early separation from his mother for boarding school followed by his mother's early death, the death of his close friend and colleague Nikolai Rubinstein, his failed marriage with Antonina Miliukova, and the collapse of his 13-year association with the wealthy patroness Nadezhda von Meck. His homosexuality, which he kept private, has traditionally also been considered a major factor though some scholars have downplayed its importance. Tchaikovsky's dedication of his Sixth symphony to his nephew Vladimir “Bob” Davydov (13 at the time) and his feelings expressed about Davydov in letters to others, especially following Davydov's suicide, have been cited as evidence for a romantic love between the two. Tchaikovsky's sudden death at the age of 53 is generally ascribed to cholera, but there is an ongoing debate as to whether cholera was indeed the cause and whether the death was accidental or intentional.
</p><p>While his music has remained popular among audiences, critical opinions were initially mixed. Some Russians did not feel it was sufficiently representative of native musical values and expressed suspicion that Europeans accepted the music for its Western elements. In an apparent reinforcement of the latter claim, some Europeans lauded Tchaikovsky for offering music more substantive than base exoticism and said he transcended stereotypes of Russian classical music. Others dismissed Tchaikovsky's music as ""lacking in elevated thought"" and derided its formal workings as deficient because they did not stringently follow Western principles.
</p>


",
